Kode_Kab;Kabupaten;Provinsi;PE;TPAK;RASIOPUSKES;RASIOSMA;AHH;HLS;RLS;PENG
ID6302;Kotabaru;Kalimantan Selatan;3,36;67,5;,118644068;,100161551;69;12;7,46;11720
ID6303;Banjar;Kalimantan Selatan;3,21;70,84;,105932203;,119547658;67;13;7,52;12707
ID6304;Barito Kuala;Kalimantan Selatan;3,17;75,48;,080508475;,098546042;66;12;7,55;9868
ID6305;Tapin;Kalimantan Selatan;3,41;70,31;,055084746;,042003231;71;12;7,77;11952
ID6306;Hulu Sungai Selatan;Kalimantan Selatan;4,18;69,25;,088983051;,059773829;66;12;7,76;12736
ID6307;Hulu Sungai Tengah;Kalimantan Selatan;3,01;70,2;,080508475;,059773829;66;12;8,01;12280
ID6308;Hulu Sungai Utara;Kalimantan Selatan;3,23;71,41;,055084746;,050080775;64;13;7,75;9644
ID6309;Tabalong;Kalimantan Selatan;3,28;71,49;,076271186;,096930533;71;13;9,11;11470
ID6310;Tanah Bumbu;Kalimantan Selatan;4,23;68,29;,059322034;,098546042;70;12;7,97;11844
ID6311;Balangan;Kalimantan Selatan;3,26;75,38;,046610169;,042003231;68;12;7,69;11500
ID6371;Kota Banjarmasin;Kalimantan Selatan;3,41;63,19;,110169492;,10177706;71;14;10,2;14432
ID6372;Kota Banjarbaru;Kalimantan Selatan;3,32;65,95;,042372881;,038772213;72;15;10,96;13789
ID6401;Paser;Kalimantan Timur;5,41;65,34;,101064;,074561;72,88;13,25;8,79;10673
ID6402;Kutai Barat;Kalimantan Timur;4,18;72,53;,101064;,096491;73,1;13,02;8,7;10062
ID6403;Kutai Kartanegara;Kalimantan Timur;2,67;64,46;,175532;,22807;72,64;13,6;9,23;11048
ID6404;Kutai Timur;Kalimantan Timur;-1,01;67,97;,111702;,096491;73,46;12,9;9,43;10868
ID6405;Berau;Kalimantan Timur;5,36;65,55;,12234;,083333;72,32;13,33;9,53;12435
ID6409;Penajam Paser Utara;Kalimantan Timur;-1,69;66,85;,058511;,04386;71,68;12,57;8,36;11651
ID6411;Mahakam Ulu;Kalimantan Timur;1,27;74,83;,021277;,030702;72,33;12,61;8,18;7802
ID6471;Kota Balikpapan;Kalimantan Timur;4,56;64,29;,143617;,114035;74,76;14,22;10,91;14862
ID6472;Kota Samarinda;Kalimantan Timur;2,76;64,29;,132979;,184211;74,54;15,09;10,49;14582
ID6474;Kota Bontang;Kalimantan Timur;1,6;66,63;,031915;,048246;74,55;13,17;10,8;16765
ID6501;Malinau;Kalimantan Utara;4,7;71,49;,3;,287879;71,49;13,31;9,4;9928
ID6502;Bulungan;Kalimantan Utara;4,01;68,62;,2;,227273;72,74;13,01;9,19;9423
ID6503;Tana Tidung;Kalimantan Utara;4,29;67,35;,083333;,045455;71,49;12,22;8,8;7676
ID6504;Nunukan;Kalimantan Utara;4,07;66,11;,3;,242424;71,4;12,65;8,17;7064
ID6571;Tarakan;Kalimantan Utara;4,02;63,34;,116667;,19697;74,04;14,03;9,98;11261
ID7101;Bolaang Mongondow;Sulawesi Utara;3,87;4,85;,090909;,056769;69,45;11,53;8,03;10220
ID7102;Minahasa;Sulawesi Utara;3,53;6,14;,10101;,144105;71,16;14,15;9,73;12481
ID7103;Kepulauan Sangihe;Sulawesi Utara;5,99;4,72;,080808;,078603;70,18;12,47;8,34;11524
ID7104;Kepulauan Talaud;Sulawesi Utara;3,34;2,3;,106061;,082969;70,24;12,59;9,72;8558
ID7105;Minahasa Selatan;Sulawesi Utara;4,91;4,9;,090909;,082969;70,01;12,83;9,09;11554
ID7106;Minahasa Utara;Sulawesi Utara;5,96;8,12;,055556;,09607;71,4;12,92;10;11481
ID7107;Bolaang Mongondow Utara;Sulawesi Utara;3,46;5,23;,055556;,017467;67,73;12,17;8,41;9143
